1,0,Virginia
2,0,UMBC
3,0,Creighton
4,0,Kansas State
5,0,Kentucky
6,0,Davidson
7,0,Arizona
8,0,Buffalo
9,0,Miami
10,0,Loyola-Chicago
11,0,Tennessee
12,0,Wright State
13,0,Nevada
14,0,Texas
15,0,Cincinnati
16,0,Georgia State
17,0,Xavier
18,1,North Carolina Central
18,2,Texas Southern
19,0,Missouri
20,0,Florida State
21,0,Ohio State
22,0,South Dakota State
23,0,Gonzaga
24,0,UNC Greensboro
25,0,Houston
26,0,San Diego State
27,0,Michigan
28,0,Montana
29,0,Texas A&M
30,0,Providence
31,0,North Carolina
32,0,Lipscomb
33,0,Villanova
34,1,LIU Brooklyn
34,2,Radford
35,0,Virginia Tech
36,0,Alabama
37,0,West Virginia
38,0,Murray State
39,0,Wichita State
40,0,Marshall
41,0,Florida
42,1,St. Bonaventure
42,2,UCLA
43,0,Texas Tech
44,0,Stephen F. Austin
45,0,Arkansas
46,0,Butler
47,0,Purdue
48,0,Cal State Fullerton
49,0,Kansas
50,0,Pennsylvania
51,0,Seton Hall
52,0,NC State
53,0,Clemson
54,0,New Mexico State
55,0,Auburn
56,0,Charleston
57,0,TCU
58,1,Arizona State
58,2,Syracuse
59,0,Michigan State
60,0,Bucknell
61,0,Rhode Island
62,0,Oklahoma
63,0,Duke
64,0,Iona
